label	macro_class
Speech	HumanSpeech
Male speech, man speaking	HumanSpeech
Female speech, woman speaking	HumanSpeech
Child speech, kid speaking	HumanSpeech
Conversation	HumanSpeech
Narration, monologue	HumanSpeech
Babbling	HumanSpeech
Speech synthesizer	HumanSpeech
Shout	HumanSpeech
Bellow	AnimalSounds
Whoop	CrowdAmbience
Yell	HumanSpeech
Battle cry	CrowdAmbience
Children shouting	HumanSpeech
Screaming	HumanSpeech
Whispering	HumanSpeech
Laughter	HumanBodySound
Baby laughter	HumanBodySound
Giggle	HumanBodySound
Snicker	HumanBodySound
Belly laugh	HumanBodySound
Chuckle, chortle	HumanBodySound
Crying, sobbing	HumanBodySound
Baby cry, infant cry	HumanBodySound
Whimper	HumanBodySound
Wail, moan	HumanBodySound
Sigh	HumanBodySound
Singing	SingingVocal
Choir	SingingVocal
Yodeling	SingingVocal
Chant	SingingVocal
Mantra	HumanSpeech
Male singing	SingingVocal
Female singing	SingingVocal
Child singing	SingingVocal
Synthetic singing	SingingVocal
Rapping	SingingVocal
Humming	SingingVocal
Groan	HumanBodySound
Grunt	HumanBodySound
Whistling	SingingVocal
Breathing	HumanBodySound
Wheeze	HumanBodySound
Snoring	HumanBodySound
Gasp	HumanBodySound
Pant	HumanBodySound
Snort	HumanBodySound
Cough	HumanBodySound
Throat clearing	HumanBodySound
Sneeze	HumanBodySound
Sniff	HumanBodySound
Run	HumanBodySound
Shuffle	HumanBodySound
Walk, footsteps	HumanBodySound
Chewing, mastication	HumanBodySound
Biting	HumanBodySound
Gargling	HumanBodySound
Stomach rumble	HumanBodySound
Burping, eructation	HumanBodySound
Hiccup	HumanBodySound
Fart	HumanBodySound
Hands	HumanBodySound
Finger snapping	HumanBodySound
Clapping	HumanBodySound
Heart sounds, heartbeat	HumanBodySound
Heart murmur	HumanBodySound
Cheering	CrowdAmbience
Applause	CrowdAmbience
Chatter	HumanSpeech
Crowd	CrowdAmbience
Hubbub, speech noise, speech babble	CrowdAmbience
Children playing	CrowdAmbience
Animal	AnimalSounds
Domestic animals, pets	AnimalSounds
